#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
kmeans	3	Dark Golden Rod	65	PTGDS	9606.ENSP00000360687	Prostaglandin-H2 D-isomerase; Catalyzes the conversion of PGH2 to PGD2, a prostaglandin involved in smooth muscle contraction/relaxation and a potent inhibitor of platelet aggregation. Involved in a variety of CNS functions, such as sedation, NREM sleep and PGE2-induced allodynia, and may have an anti-apoptotic role in oligodendrocytes. Binds small non-substrate lipophilic molecules, including biliverdin, bilirubin, retinal, retinoic acid and thyroid hormone, and may act as a scavenger for harmful hydrophobic molecules and as a secretory retinoid and thyroid hormone transporter. Possib [...] 
kmeans	3	Dark Golden Rod	65	PTPRF	9606.ENSP00000353030	Receptor-type tyrosine-protein phosphatase F; Possible cell adhesion receptor. It possesses an intrinsic protein tyrosine phosphatase activity (PTPase) and dephosphorylates EPHA2 regulating its activity.
kmeans	3	Dark Golden Rod	65	QDPR	9606.ENSP00000281243	Dihydropteridine reductase; The product of this enzyme, tetrahydrobiopterin (BH-4), is an essential cofactor for phenylalanine, tyrosine, and tryptophan hydroxylases; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
kmeans	3	Dark Golden Rod	65	RAD23B	9606.ENSP00000350708	UV excision repair protein RAD23 homolog B; Multiubiquitin chain receptor involved in modulation of proteasomal degradation. Binds to polyubiquitin chains. Proposed to be capable to bind simultaneously to the 26S proteasome and to polyubiquitinated substrates and to deliver ubiquitinated proteins to the proteasome. May play a role in endoplasmic reticulum-associated degradation (ERAD) of misfolded glycoproteins by association with PNGase and delivering deglycosylated proteins to the proteasome. The XPC complex is proposed to represent the first factor bound at the sites of DNA damage a [...] 
kmeans	3	Dark Golden Rod	65	RARRES2	9606.ENSP00000418009	Retinoic acid receptor responder protein 2; Adipocyte-secreted protein (adipokine) that regulates adipogenesis, metabolism and inflammation through activation of the chemokine-like receptor 1 (CMKLR1). Its other ligands include G protein-coupled receptor 1 (GPR1) and chemokine receptor-like 2 (CCRL2). Positively regulates adipocyte differentiation, modulates the expression of adipocyte genes involved in lipid and glucose metabolism and might play a role in angiogenesis, a process essential for the expansion of white adipose tissue. Also acts as a proinflammatory adipokine, causing an i [...] 
kmeans	3	Dark Golden Rod	65	ROR1	9606.ENSP00000360120	Inactive tyrosine-protein kinase transmembrane receptor ROR1; Has very low kinase activity in vitro and is unlikely to function as a tyrosine kinase in vivo. Receptor for ligand WNT5A which activate downstream NFkB signaling pathway and may result in the inhibition of WNT3A-mediated signaling. In inner ear, crucial for spiral ganglion neurons to innervate auditory hair cells.
kmeans	3	Dark Golden Rod	65	RTBDN	9606.ENSP00000326253	Retbindin; Riboflavin-binding protein which might have a role in retinal flavin transport.
kmeans	3	Dark Golden Rod	65	RWDD1	9606.ENSP00000420357	RWD domain-containing protein 1; Protects DRG2 from proteolytic degradation; Belongs to the RWDD1/GIR2 family.
kmeans	3	Dark Golden Rod	65	SERPINA11	9606.ENSP00000335024	Serpin family A member 11.
kmeans	3	Dark Golden Rod	65	SIAE	9606.ENSP00000263593	Sialate O-acetylesterase; Catalyzes the removal of O-acetyl ester groups from position 9 of the parent sialic acid, N-acetylneuraminic acid.
kmeans	3	Dark Golden Rod	65	SIRT2	9606.ENSP00000249396	NAD-dependent protein deacetylase sirtuin-2; NAD-dependent protein deacetylase, which deacetylates internal lysines on histone and alpha-tubulin as well as many other proteins such as key transcription factors. Participates in the modulation of multiple and diverse biological processes such as cell cycle control, genomic integrity, microtubule dynamics, cell differentiation, metabolic networks, and autophagy. Plays a major role in the control of cell cycle progression and genomic stability. Functions in the antephase checkpoint preventing precocious mitotic entry in response to microtu [...] 
kmeans	3	Dark Golden Rod	65	SLC39A5	9606.ENSP00000266980	Zinc transporter ZIP5; May play a role in polarized cells by carrying out serosal- to-mucosal zinc transport. Plays a role in eye development. Could regulate the BMP/TGF-beta (bone morphogenetic protein/transforming growth factor-beta) signaling pathway and modulates extracellular matrix (ECM) proteins of the sclera. Seems to play a central role in controlling organismal zinc status (By similarity).
kmeans	3	Dark Golden Rod	65	SUSD1	9606.ENSP00000363382	Sushi domain containing 1.
kmeans	3	Dark Golden Rod	65	TARBP2	9606.ENSP00000266987	RISC-loading complex subunit TARBP2; Required for formation of the RNA induced silencing complex (RISC). Component of the RISC loading complex (RLC), also known as the micro-RNA (miRNA) loading complex (miRLC), which is composed of DICER1, AGO2 and TARBP2. Within the RLC/miRLC, DICER1 and TARBP2 are required to process precursor miRNAs (pre-miRNAs) to mature miRNAs and then load them onto AGO2. AGO2 bound to the mature miRNA constitutes the minimal RISC and may subsequently dissociate from DICER1 and TARBP2. May also play a role in the production of short interfering RNAs (siRNAs) from [...] 
kmeans	3	Dark Golden Rod	65	TCL1A	9606.ENSP00000451506	T-cell leukemia/lymphoma protein 1A; Enhances the phosphorylation and activation of AKT1, AKT2 and AKT3. Promotes nuclear translocation of AKT1. Enhances cell proliferation, stabilizes mitochondrial membrane potential and promotes cell survival. Belongs to the TCL1 family.
kmeans	3	Dark Golden Rod	65	TMSB10	9606.ENSP00000233143	Thymosin beta-10; Plays an important role in the organization of the cytoskeleton. Binds to and sequesters actin monomers (G actin) and therefore inhibits actin polymerization (By similarity); Belongs to the thymosin beta family.
kmeans	3	Dark Golden Rod	65	VWA1	9606.ENSP00000417185	Von Willebrand factor A domain-containing protein 1; Promotes matrix assembly.
kmeans	3	Dark Golden Rod	65	XG	9606.ENSP00000494087	Xg glycoprotein; Belongs to the CD99 family.
kmeans	4	Green Yellow	35	ADGRG2	9606.ENSP00000369198	Adhesion G-protein coupled receptor G2; Orphan receptor. Could be involved in a signal transduction pathway controlling epididymal function and male fertility. May regulate fluid exchange within epididymis. Belongs to the G-protein coupled receptor 2 family. Adhesion G-protein coupled receptor (ADGR) subfamily.
kmeans	4	Green Yellow	35	ANXA11	9606.ENSP00000398610	Annexin A11; Binds specifically to calcyclin in a calcium-dependent manner (By similarity). Required for midbody formation and completion of the terminal phase of cytokinesis.
kmeans	4	Green Yellow	35	C19orf12	9606.ENSP00000376103	Protein C19orf12; Chromosome 19 open reading frame 12.
kmeans	4	Green Yellow	35	CANT1	9606.ENSP00000307674	Soluble calcium-activated nucleotidase 1; Calcium-dependent nucleotidase with a preference for UDP. The order of activity with different substrates is UDP > GDP > UTP > GTP. Has very low activity towards ADP and even lower activity towards ATP. Does not hydrolyze AMP and GMP. Involved in proteoglycan synthesis. Belongs to the apyrase family.
kmeans	4	Green Yellow	35	CC2D1A	9606.ENSP00000313601	Coiled-coil and C2 domain-containing protein 1A; Transcription factor that binds specifically to the DRE (dual repressor element) and represses HTR1A gene transcription in neuronal cells. The combination of calcium and ATP specifically inactivates the binding with FRE. May play a role in the altered regulation of HTR1A associated with anxiety and major depression. Mediates HDAC-independent repression of HTR1A promoter in neuronal cell. Performs essential function in controlling functional maturation of synapses (By similarity). Plays distinct roles depending on its localization. When c [...] 
kmeans	4	Green Yellow	35	CD164	9606.ENSP00000309376	Sialomucin core protein 24; Sialomucin that may play a key role in hematopoiesis by facilitating the adhesion of CD34(+) cells to the stroma and by negatively regulating CD34(+)CD38(lo/-) cell proliferation. Modulates the migration of umbilical cord blood CD133+ cells and this is mediated through the CXCL12/CXCR4 axis. May play an important role in prostate cancer metastasis and the infiltration of bone marrow by cancer cells. Promotes myogenesis by enhancing CXCR4-dependent cell motility. Positively regulates myoblast migration and promotes myoblast fusion into myotubes (By similarity).
kmeans	4	Green Yellow	35	CES3	9606.ENSP00000304782	Carboxylesterase 3; Involved in the detoxification of xenobiotics and in the activation of ester and amide prodrugs. Shows low catalytic efficiency for hydrolysis of CPT-11 (7-ethyl-10-[4-(1-piperidino)-1-piperidino]- carbonyloxycamptothecin), a prodrug for camptothecin used in cancer therapeutics.
kmeans	4	Green Yellow	35	CHMP1A	9606.ENSP00000380998	Charged multivesicular body protein 1a; Probable peripherally associated component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the [...] 
kmeans	4	Green Yellow	35	DAPP1	9606.ENSP00000423602	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide; May act as a B-cell-associated adapter that regulates B-cell antigen receptor (BCR)-signaling downstream of PI3K.
kmeans	4	Green Yellow	35	ENAH	9606.ENSP00000355809	Protein enabled homolog; Ena/VASP proteins are actin-associated proteins involved in a range of processes dependent on cytoskeleton remodeling and cell polarity such as axon guidance and lamellipodial and filopodial dynamics in migrating cells. ENAH induces the formation of F-actin rich outgrowths in fibroblasts. Acts synergistically with BAIAP2-alpha and downstream of NTN1 to promote filipodia formation (By similarity).
kmeans	4	Green Yellow	35	GALNT3	9606.ENSP00000376465	Polypeptide N-acetylgalactosaminyltransferase 3; Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Has activity toward HIV envelope glycoprotein gp120, EA2, Muc2 and Muc5. Probably glycosylates fibronectin in vivo. Glycosylates FGF23. Plays a central role in phosphate homeostasis.
kmeans	4	Green Yellow	35	ITGB1BP2	9606.ENSP00000362935	Integrin beta-1-binding protein 2; May play a role during maturation and/or organization of muscles cells.
kmeans	4	Green Yellow	35	LY6D	9606.ENSP00000301263	Lymphocyte antigen 6D; May act as a specification marker at earliest stage specification of lymphocytes between B- and T-cell development. Marks the earliest stage of B-cell specification.
kmeans	4	Green Yellow	35	MAP4K5	9606.ENSP00000013125	Mitogen-activated protein kinase kinase kinase kinase 5; May play a role in the response to environmental stress. Appears to act upstream of the JUN N-terminal pathway. Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. STE20 subfamily.
kmeans	4	Green Yellow	35	MITD1	9606.ENSP00000289359	MIT domain-containing protein 1; Required for efficient abscission at the end of cytokinesis, together with components of the ESCRT-III complex.
kmeans	4	Green Yellow	35	NELL1	9606.ENSP00000298925	Protein kinase C-binding protein NELL1; Plays a role in the control of cell growth and differentiation. Promotes osteoblast cell differentiation and terminal mineralization.
kmeans	4	Green Yellow	35	NELL2	9606.ENSP00000416341	Protein kinase C-binding protein NELL2; Required for neuron survival through the modulation of MAPK pathways (By similarity). Involved in the regulation of hypothalamic GNRH secretion and the control of puberty (By similarity).
kmeans	4	Green Yellow	35	PAK4	9606.ENSP00000469413	Serine/threonine-protein kinase PAK 4; Serine/threonine protein kinase that plays a role in a variety of different signaling pathways including cytoskeleton regulation, cell migration, growth, proliferation or cell survival. Activation by various effectors including growth factor receptors or active CDC42 and RAC1 results in a conformational change and a subsequent autophosphorylation on several serine and/or threonine residues. Phosphorylates and inactivates the protein phosphatase SSH1, leading to increased inhibitory phosphorylation of the actin binding/depolymerizing factor cofilin [...] 
kmeans	4	Green Yellow	35	PAMR1	9606.ENSP00000482899	Inactive serine protease PAMR1; May play a role in regeneration of skeletal muscle. Belongs to the peptidase S1 family.
kmeans	4	Green Yellow	35	PPCDC	9606.ENSP00000343190	Phosphopantothenoylcysteine decarboxylase; Necessary for the biosynthesis of coenzyme A. Catalyzes the decarboxylation of 4-phosphopantothenoylcysteine to form 4'- phosphopantotheine; Belongs to the HFCD (homooligomeric flavin containing Cys decarboxylase) superfamily.
kmeans	4	Green Yellow	35	RAB6A	9606.ENSP00000311449	Ras-related protein Rab-6A; Protein transport. Regulator of membrane traffic from the Golgi apparatus towards the endoplasmic reticulum (ER). Has a low GTPase activity. Involved in COPI-independent retrograde transport from the Golgi to the ER ; Belongs to the small GTPase superfamily. Rab family.
kmeans	4	Green Yellow	35	RNF41	9606.ENSP00000342755	E3 ubiquitin-protein ligase NRDP1; Acts as E3 ubiquitin-protein ligase and regulates the degradation of target proteins. Polyubiquitinates MYD88. Negatively regulates MYD88-dependent production of proinflammatory cytokines. Can promote TRIF-dependent production of type I interferon and inhibits infection with vesicular stomatitis virus (By similarity). Promotes also activation of TBK1 and IRF3. Involved in the ubiquitination of erythropoietin (EPO) and interleukin-3 (IL-3) receptors. Thus, through maintaining basal levels of cytokine receptors, RNF41 is involved in the control of hemat [...] 
kmeans	4	Green Yellow	35	ROBO2	9606.ENSP00000417335	Roundabout homolog 2; Receptor for SLIT2, and probably SLIT1, which are thought to act as molecular guidance cue in cellular migration, including axonal navigation at the ventral midline of the neural tube and projection of axons to different regions during neuronal development; Belongs to the immunoglobulin superfamily. ROBO family.
kmeans	4	Green Yellow	35	SCGB3A2	9606.ENSP00000296694	Secretoglobin family 3A member 2; Secreted cytokine-like protein. Binds to the scavenger receptor MARCO. Can also bind to pathogens including the Gram-positive bacterium L.monocytogenes, the Gram-negative bacterium P.aeruginosa, and yeast. Strongly inhibits phospholipase A2 (PLA2G1B) activity. Seems to have anti-inflammatory effects in respiratory epithelium (By similarity). Also has anti-fibrotic activity in lung. May play a role in fetal lung development and maturation. Promotes branching morphogenesis during early stages of lung development. In the pituitary, may inhibit production  [...] 
kmeans	4	Green Yellow	35	SERPINB1	9606.ENSP00000370115	Leukocyte elastase inhibitor; Neutrophil serine protease inhibitor that plays an essential role in the regulation of the innate immune response, inflammation and cellular homeostasis. Acts primarily to protect the cell from proteases released in the cytoplasm during stress or infection. These proteases are important in killing microbes but when released from granules, these potent enzymes also destroy host proteins and contribute to mortality. Regulates the activity of the neutrophil proteases elastase, cathepsin G, proteinase-3, chymase, chymotrypsin, and kallikrein-3. Acts also as a  [...] 
kmeans	4	Green Yellow	35	SERPINB6	9606.ENSP00000484343	Serpin B6; May be involved in the regulation of serine proteinases present in the brain or extravasated from the blood (By similarity). Inhibitor of cathepsin G, kallikrein-8 and thrombin. May play an important role in the inner ear in the protection against leakage of lysosomal content during stress and loss of this protection results in cell death and sensorineural hearing loss.
kmeans	4	Green Yellow	35	SNAP23	9606.ENSP00000249647	Synaptosomal-associated protein 23; Essential component of the high affinity receptor for the general membrane fusion machinery and an important regulator of transport vesicle docking and fusion; Belongs to the SNAP-25 family.
kmeans	4	Green Yellow	35	SNAP29	9606.ENSP00000215730	Synaptosomal-associated protein 29; SNAREs, soluble N-ethylmaleimide-sensitive factor-attachment protein receptors, are essential proteins for fusion of cellular membranes. SNAREs localized on opposing membranes assemble to form a trans-SNARE complex, an extended, parallel four alpha-helical bundle that drives membrane fusion. SNAP29 is a SNARE involved in autophagy through the direct control of autophagosome membrane fusion with the lysososome membrane. Plays also a role in ciliogenesis by regulating membrane fusions; Belongs to the SNAP-25 family.
kmeans	4	Green Yellow	35	STAMBP	9606.ENSP00000377633	STAM-binding protein; Zinc metalloprotease that specifically cleaves 'Lys-63'- linked polyubiquitin chains. Does not cleave 'Lys-48'-linked polyubiquitin chains (By similarity). Plays a role in signal transduction for cell growth and MYC induction mediated by IL-2 and GM- CSF. Potentiates BMP (bone morphogenetic protein) signaling by antagonizing the inhibitory action of SMAD6 and SMAD7. Has a key role in regulation of cell surface receptor-mediated endocytosis and ubiquitin-dependent sorting of receptors to lysosomes. Endosomal localization of STAMBP is required for efficient EGFR deg [...] 
kmeans	4	Green Yellow	35	STX16	9606.ENSP00000360183	Syntaxin-16; SNARE involved in vesicular transport from the late endosomes to the trans-Golgi network.
kmeans	4	Green Yellow	35	TACC3	9606.ENSP00000326550	Transforming acidic coiled-coil-containing protein 3; Plays a role in the microtubule-dependent coupling of the nucleus and the centrosome. Involved in the processes that regulate centrosome-mediated interkinetic nuclear migration (INM) of neural progenitors (By similarity). Acts as component of the TACC3/ch- TOG/clathrin complex proposed to contribute to stabilization of kinetochore fibers of the mitotic spindle by acting as inter- microtubule bridge. The TACC3/ch-TOG/clathrin complex is required for the maintenance of kinetochore fiber tension. May be involved in the control of cell  [...] 
kmeans	4	Green Yellow	35	TFPI	9606.ENSP00000233156	Tissue factor pathway inhibitor; Inhibits factor X (X(a)) directly and, in a Xa-dependent way, inhibits VIIa/tissue factor activity, presumably by forming a quaternary Xa/LACI/VIIa/TF complex. It possesses an antithrombotic action and also the ability to associate with lipoproteins in plasma.
kmeans	4	Green Yellow	35	USO1	9606.ENSP00000264904	General vesicular transport factor p115; General vesicular transport factor required for intercisternal transport in the Golgi stack; it is required for transcytotic fusion and/or subsequent binding of the vesicles to the target membrane. May well act as a vesicular anchor by interacting with the target membrane and holding the vesicular and target membranes in proximity.
kmeans	4	Green Yellow	35	VPS37A	9606.ENSP00000318629	Vacuolar protein sorting-associated protein 37A; Component of the ESCRT-I complex, a regulator of vesicular trafficking process. Required for the sorting of endocytic ubiquitinated cargos into multivesicular bodies. May be involved in cell growth and differentiation.
kmeans	4	Green Yellow	35	VPS53	9606.ENSP00000401435	Vacuolar protein sorting-associated protein 53 homolog; Acts as component of the GARP complex that is involved in retrograde transport from early and late endosomes to the trans-Golgi network (TGN). The GARP complex is required for the maintenance of the cycling of mannose 6-phosphate receptors between the TGN and endosomes, this cycling is necessary for proper lysosomal sorting of acid hydrolases such as CTSD. Acts as component of the EARP complex that is involved in endocytic recycling. The EARP complex associates with Rab4-positive endosomes and promotes recycling of internalized tr [...] 
kmeans	5	Green 2	49	ALDH1A1	9606.ENSP00000297785	Retinal dehydrogenase 1; Can convert/oxidize retinaldehyde to retinoic acid. Binds free retinal and cellular retinol-binding protein-bound retinal (By similarity). May have a broader specificity and oxidize other aldehydes in vivo.
kmeans	5	Green 2	49	ANGPT1	9606.ENSP00000428340	Angiopoietin-1; Binds and activates TEK/TIE2 receptor by inducing its dimerization and tyrosine phosphorylation. Plays an important role in the regulation of angiogenesis, endothelial cell survival, proliferation, migration, adhesion and cell spreading, reorganization of the actin cytoskeleton, but also maintenance of vascular quiescence. Required for normal angiogenesis and heart development during embryogenesis. After birth, activates or inhibits angiogenesis, depending on the context. Inhibits angiogenesis and promotes vascular stability in quiescent vessels, where endothelial cells [...] 
kmeans	5	Green 2	49	AREG	9606.ENSP00000379097	Amphiregulin; Ligand of the EGF receptor/EGFR. Autocrine growth factor as well as a mitogen for a broad range of target cells including astrocytes, Schwann cells and fibroblasts; Belongs to the amphiregulin family.
kmeans	5	Green 2	49	BCAN	9606.ENSP00000331210	Brevican core protein; May play a role in the terminally differentiating and the adult nervous system during postnatal development. Could stabilize interactions between hyaluronan (HA) and brain proteoglycans; Belongs to the aggrecan/versican proteoglycan family.
kmeans	5	Green 2	49	CNTN3	9606.ENSP00000263665	Contactin-3; Contactins mediate cell surface interactions during nervous system development. Has some neurite outgrowth-promoting activity (By similarity); Belongs to the immunoglobulin superfamily. Contactin family.
kmeans	5	Green 2	49	CSF1	9606.ENSP00000327513	Processed macrophage colony-stimulating factor 1; Cytokine that plays an essential role in the regulation of survival, proliferation and differentiation of hematopoietic precursor cells, especially mononuclear phagocytes, such as macrophages and monocytes. Promotes the release of proinflammatory chemokines, and thereby plays an important role in innate immunity and in inflammatory processes. Plays an important role in the regulation of osteoclast proliferation and differentiation, the regulation of bone resorption, and is required for normal bone development. Required for normal male a [...] 
kmeans	5	Green 2	49	CX3CL1	9606.ENSP00000006053	Processed fractalkine; Acts as a ligand for both CX3CR1 and integrins. Binds to CX3CR1. Binds to integrins ITGAV:ITGB3 and ITGA4:ITGB1. Can activate integrins in both a CX3CR1-dependent and CX3CR1-independent manner. In the presence of CX3CR1, activates integrins by binding to the classical ligand-binding site (site 1) in integrins. In the absence of CX3CR1, binds to a second site (site 2) in integrins which is distinct from site 1 and enhances the binding of other integrin ligands to site 1. The soluble form is chemotactic for T-cells and monocytes and not for neutrophils. The membran [...] 
kmeans	5	Green 2	49	DKK1	9606.ENSP00000363081	Dickkopf-related protein 1; Antagonizes canonical Wnt signaling by inhibiting LRP5/6 interaction with Wnt and by forming a ternary complex with the transmembrane protein KREMEN that promotes internalization of LRP5/6. DKKs play an important role in vertebrate development, where they locally inhibit Wnt regulated processes such as antero-posterior axial patterning, limb development, somitogenesis and eye formation. In the adult, Dkks are implicated in bone formation and bone disease, cancer and Alzheimer disease. Inhibits the pro-apoptotic function of KREMEN1 in a Wnt-independent manner [...] 
kmeans	5	Green 2	49	DLL1	9606.ENSP00000355718	Delta-like protein 1; Transmembrane ligand protein of NOTCH1, NOTCH2 and NOTCH3 receptors that binds the extracellular domain (ECD) of Notch receptor in a cis and trans fashion manner. Following transinteraction, ligand cells produce mechanical force that depends of a clathrin-mediated endocytosis, requiring ligand ubiquitination, EPN1 interaction, and actin polymerisation; these events promote Notch receptor extracellular domain (NECD) transendocytosis and triggers Notch signaling through induction of cleavage, hyperphosphorylation, and nuclear accumulation of the intracellular domain [...] 
kmeans	5	Green 2	49	EBAG9	9606.ENSP00000337675	Receptor-binding cancer antigen expressed on SiSo cells; May participate in suppression of cell proliferation and induces apoptotic cell death through activation of interleukin-1-beta converting enzyme (ICE)-like proteases.
kmeans	5	Green 2	49	EGF	9606.ENSP00000265171	Pro-epidermal growth factor; EGF stimulates the growth of various epidermal and epithelial tissues in vivo and in vitro and of some fibroblasts in cell culture. Magnesiotropic hormone that stimulates magnesium reabsorption in the renal distal convoluted tubule via engagement of EGFR and activation of the magnesium channel TRPM6. Can induce neurite outgrowth in motoneurons of the pond snail Lymnaea stagnalis in vitro.
kmeans	5	Green 2	49	EGFL7	9606.ENSP00000360764	Epidermal growth factor-like protein 7; Regulates vascular tubulogenesis in vivo. Inhibits platelet- derived growth factor (PDGF)-BB-induced smooth muscle cell migration and promotes endothelial cell adhesion to the extracellular matrix and angiogenesis.
kmeans	5	Green 2	49	ENO2	9606.ENSP00000437402	Gamma-enolase; Has neurotrophic and neuroprotective properties on a broad spectrum of central nervous system (CNS) neurons. Binds, in a calcium- dependent manner, to cultured neocortical neurons and promotes cell survival (By similarity).
kmeans	5	Green 2	49	EPHA2	9606.ENSP00000351209	Ephrin type-A receptor 2; Receptor tyrosine kinase which binds promiscuously membrane- bound ephrin-A family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Activated by the ligand ephrin- A1/EFNA1 regulates migration, integrin-mediated adhesion, proliferation and differentiation of cells. Regulates cell adhesion and differentiation through DS [...] 
kmeans	5	Green 2	49	ERBB2	9606.ENSP00000269571	Receptor tyrosine-protein kinase erbB-2; Protein tyrosine kinase that is part of several cell surface receptor complexes, but that apparently needs a coreceptor for ligand binding. Essential component of a neuregulin-receptor complex, although neuregulins do not interact with it alone. GP30 is a potential ligand for this receptor. Regulates outgrowth and stabilization of peripheral microtubules (MTs). Upon ERBB2 activation, the MEMO1-RHOA-DIAPH1 signaling pathway elicits the phosphorylation and thus the inhibition of GSK3B at cell membrane. This prevents the phosphorylation of APC and  [...] 
kmeans	5	Green 2	49	ERBB3	9606.ENSP00000267101	Receptor tyrosine-protein kinase erbB-3; Tyrosine-protein kinase that plays an essential role as cell surface receptor for neuregulins. Binds to neuregulin-1 (NRG1) and is activated by it; ligand-binding increases phosphorylation on tyrosine residues and promotes its association with the p85 subunit of phosphatidylinositol 3-kinase. May also be activated by CSPG5. Involved in the regulation of myeloid cell differentiation.
kmeans	5	Green 2	49	ERBIN	9606.ENSP00000426632	Erbin; Acts as an adapter for the receptor ERBB2, in epithelia. By binding the unphosphorylated 'Tyr-1248' of receptor ERBB2, it may contribute to stabilize this unphosphorylated state. Inhibits NOD2-dependent NF-kappa-B signaling and proinflammatory cytokine secretion ; Belongs to the LAP (LRR and PDZ) protein family.
kmeans	5	Green 2	49	EREG	9606.ENSP00000244869	Proepiregulin; Ligand of the EGF receptor/EGFR and ERBB4. Stimulates EGFR and ERBB4 tyrosine phosphorylation. Contributes to inflammation, wound healing, tissue repair, and oocyte maturation by regulating angiogenesis and vascular remodeling and by stimulating cell proliferation.
kmeans	5	Green 2	49	F7	9606.ENSP00000364731	Coagulation factor VII; Initiates the extrinsic pathway of blood coagulation. Serine protease that circulates in the blood in a zymogen form. Factor VII is converted to factor VIIa by factor Xa, factor XIIa, factor IXa, or thrombin by minor proteolysis. In the presence of tissue factor and calcium ions, factor VIIa then converts factor X to factor Xa by limited proteolysis. Factor VIIa will also convert factor IX to factor IXa in the presence of tissue factor and calcium.
kmeans	5	Green 2	49	GDNF	9606.ENSP00000409007	Glial cell line-derived neurotrophic factor; Neurotrophic factor that enhances survival and morphological differentiation of dopaminergic neurons and increases their high- affinity dopamine uptake; Belongs to the TGF-beta family. GDNF subfamily.
kmeans	5	Green 2	49	HBEGF	9606.ENSP00000230990	Proheparin-binding EGF-like growth factor; Growth factor that mediates its effects via EGFR, ERBB2 and ERBB4. Required for normal cardiac valve formation and normal heart function. Promotes smooth muscle cell proliferation. May be involved in macrophage-mediated cellular proliferation. It is mitogenic for fibroblasts, but not endothelial cells. It is able to bind EGF receptor/EGFR with higher affinity than EGF itself and is a far more potent mitogen for smooth muscle cells than EGF. Also acts as a diphtheria toxin receptor.
kmeans	5	Green 2	49	HGS	9606.ENSP00000331201	Hepatocyte growth factor-regulated tyrosine kinase substrate; Involved in intracellular signal transduction mediated by cytokines and growth factors. When associated with STAM, it suppresses DNA signaling upon stimulation by IL-2 and GM-CSF. Could be a direct effector of PI3-kinase in vesicular pathway via early endosomes and may regulate trafficking to early and late endosomes by recruiting clathrin. May concentrate ubiquitinated receptors within clathrin- coated regions. Involved in down-regulation of receptor tyrosine kinase via multivesicular body (MVBs) when complexed with STAM (E [...] 
kmeans	5	Green 2	49	IFNLR1	9606.ENSP00000327824	Interferon lambda receptor 1; The IFNLR1/IL10RB dimer is a receptor for the cytokine ligands IFNL2 and IFNL3 and mediates their antiviral activity. The ligand/receptor complex stimulate the activation of the JAK/STAT signaling pathway leading to the expression of IFN-stimulated genes (ISG), which contribute to the antiviral state. Determines the cell type specificity of the lambda interferon action. Shows a more restricted pattern of expression in the epithelial tissues thereby limiting responses to lambda interferons primarily to epithelial cells of the respiratory, gastrointestinal,  [...] 
kmeans	5	Green 2	49	IGFBP3	9606.ENSP00000370473	Insulin-like growth factor-binding protein 3; IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors. Also exhibits IGF-independent antiproliferative and apoptotic effects mediated by its receptor TMEM219/IGFBP-3R.
kmeans	5	Green 2	49	IL13RA1	9606.ENSP00000360730	Interleukin-13 receptor subunit alpha-1; Binds with low affinity to interleukin-13 (IL13). Together with IL4RA can form a functional receptor for IL13. Also serves as an alternate accessory protein to the common cytokine receptor gamma chain for interleukin-4 (IL4) signaling, but cannot replace the function of IL2RG in allowing enhanced interleukin-2 (IL2) binding activity; Belongs to the type I cytokine receptor family. Type 5 subfamily.
kmeans	5	Green 2	49	IL2RA	9606.ENSP00000369293	Interleukin-2 receptor subunit alpha; Receptor for interleukin-2. The receptor is involved in the regulation of immune tolerance by controlling regulatory T cells (TREGs) activity. TREGs suppress the activation and expansion of autoreactive T-cells.
kmeans	5	Green 2	49	IL4R	9606.ENSP00000379111	Soluble interleukin-4 receptor subunit alpha; Receptor for both interleukin 4 and interleukin 13. Couples to the JAK1/2/3-STAT6 pathway. The IL4 response is involved in promoting Th2 differentiation. The IL4/IL13 responses are involved in regulating IgE production and, chemokine and mucus production at sites of allergic inflammation. In certain cell types, can signal through activation of insulin receptor substrates, IRS1/IRS2.
